"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-11-26","276.96","279.53","276.63","277.55","278.04","33,431,423","0.21%","0.58","9,295,532,750","538,941"
"2025-11-25","275.27","280.38","275.25","276.97","278.10","46,914,220","0.38%","1.05","13,180,485,218","667,300"
"2025-11-24","270.90","277.00","270.90","275.92","275.35","65,585,796","1.63%","4.43","18,273,545,775","755,852"
"2025-11-21","265.95","273.33","265.67","271.49","270.50","59,030,832","1.97%","5.24","16,047,257,952","794,105"
"2025-11-20","270.83","275.43","265.92","266.25","269.57","45,823,568","-0.86%","-2.31","12,348,078,202","756,498"
"2025-11-19","265.53","272.21","265.50","268.56","269.31","40,424,492","0.42%","1.12","10,888,253,757","626,382"
"2025-11-18","269.99","270.71","265.32","267.44","267.73","45,677,278","-0.01%","-0.02","12,228,952,473","706,586"
"2025-11-17","268.82","270.49","265.73","267.46","267.82","45,018,260","-1.82%","-4.95","12,064,789,205","705,804"
"2025-11-14","271.05","275.96","269.60","272.41","273.09","47,431,331","-0.20%","-0.54","12,998,140,642","705,596"
"2025-11-13","274.11","276.70","272.09","272.95","273.45","49,602,794","-0.19%","-0.52","13,559,870,963","684,414"
"2025-11-12","275.00","275.73","271.70","273.47","273.72","48,397,982","-0.65%","-1.78","13,254,799,252","591,933"
"2025-11-11","269.85","275.91","269.80","275.25","274.14","46,208,318","2.16%","5.82","12,664,121,424","702,878"
"2025-11-10","268.96","273.73","267.46","269.43","270.04","41,312,412","0.46%","1.22","11,156,784,924","675,212"
"2025-11-07","269.53","272.03","266.51","268.21","268.73","48,227,365","-0.48%","-1.2987","13,179,750,710","754,457"
"2025-11-06","267.63","273.14","267.63","269.51","270.49","51,204,045","-0.14%","-0.369642","13,862,751,080","718,690"
"2025-11-05","268.35","271.44","266.67","269.88","269.54","43,683,072","0.04%","0.099903","11,788,137,557","588,630"
"2025-11-04","268.07","271.22","267.36","269.78","269.58","49,274,846","0.37%","0.989042","13,291,809,763","713,303"
"2025-11-03","270.16","270.59","265.99","268.79","267.92","50,194,583","-0.49%","-1.3187","13,467,367,302","731,860"
"2025-10-31","276.72","277.05","268.90","270.11","271.08","86,167,123","-0.38%","-1.029","23,677,704,088","1,013,851"
"2025-10-30","271.73","273.87","268.22","271.14","272.15","69,886,534","0.63%","1.6984","597,876,298","984,744"
"2025-10-29","269.01","271.15","266.85","269.44","269.29","51,086,742","0.26%","0.699322","13,768,658,465","687,379"
"2025-10-28","268.72","269.63","267.89","268.74","268.74","41,534,759","0.07%","0.189816","11,172,418,637","585,466"
"2025-10-27","264.62","268.86","264.39","268.55","266.81","44,888,152","2.28%","5.98","11,985,530,768","661,991"
"2025-10-24","260.94","263.87","258.93","262.57","262.31","38,253,717","1.25%","3.2369","10,043,108,293","599,537"
"2025-10-23","259.69","260.37","257.76","259.33","259.31","32,754,941","0.44%","1.1289","8,502,448,825","482,466"
"2025-10-22","262.40","262.60","255.18","258.20","258.44","45,015,254","-1.64%","-4.3158","11,644,752,870","687,148"
"2025-10-21","261.63","265.03","261.58","262.52","263.18","46,695,948","0.20%","0.529487","12,300,589,373","714,950"
"2025-10-20","255.64","264.12","255.38","261.99","261.48","90,483,029","3.94%","9.94","5,259,089,708","1,160,829"
