"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-11-26","677.63","681.70","676.72","679.68","344.77","71,879,597","0.69%","4.66","30,403,618,031","881,266"
"2025-11-25","668.63","676.21","664.48","675.02","671.71","81,077,088","0.94%","6.29","54,472,044,080","1,114,928"
"2025-11-24","662.69","670.06","661.59","668.73","667.57","80,437,940","1.47%","9.70","35,368,573,719","1,079,035"
"2025-11-21","655.05","664.55","650.85","659.03","658.00","123,956,203","1.00%","6.50","7,754,636,636","1,714,979"
"2025-11-20","672.91","675.56","651.89","652.53","104.68","165,293,521","-1.52%","-10.10","35,517,713,660","2,439,644"
"2025-11-19","660.78","667.34","658.75","662.63","183.82","94,702,955","0.39%","2.55","25,887,443,123","1,420,439"
"2025-11-18","662.10","665.12","655.86","660.08","661.09","114,467,488","-0.84%","-5.59","20,356,492,906","1,760,653"
"2025-11-17","669.70","673.71","662.17","665.67","164.57","90,456,105","-0.93%","-6.26","5,081,016,442","1,485,610"
"2025-11-14","665.38","675.66","663.27","671.93","425.59","96,846,672","-0.02%","-0.11","9,738,950,098","1,468,547"
"2025-11-13","680.50","680.86","670.52","672.04","199.84","103,457,788","-1.66%","-11.34","32,910,612,833","1,420,400"
"2025-11-12","684.79","684.96","680.95","683.38","683.13","62,312,484","0.06%","0.38","5,672,928,596","995,931"
"2025-11-11","679.95","683.57","678.73","683.00","681.63","58,953,385","0.23%","1.56","40,219,329,026","828,378"
"2025-11-10","677.24","682.18","675.03","681.44","55.31","75,842,888","1.56%","10.47","33,059,244,507","1,141,761"
"2025-11-07","667.91","671.08","661.21","670.97","441.89","100,592,443","0.10%","0.66","30,176,278,328","1,399,075"
"2025-11-06","676.47","677.38","668.72","670.31","400.87","85,035,298","-1.07%","-7.27","38,728,295,677","1,184,831"
"2025-11-05","674.98","680.86","674.17","677.58","678.37","74,402,376","0.35%","2.34","13,551,888,180","904,371"
"2025-11-04","676.11","679.96","674.58","675.24","676.44","78,426,969","-1.19%","-8.10","53,081,064,701","1,140,123"
"2025-11-03","685.67","685.80","679.94","683.34","262.68","57,315,025","0.19%","1.28","20,695,495,591","870,109"
"2025-10-31","685.04","685.08","679.24","682.06","682.63","87,164,122","0.33%","2.23","23,000,923,383","990,906"
"2025-10-30","683.90","685.94","679.83","679.83","319.47","76,335,751","-1.10%","-7.56","52,235,848,430","971,942"
