Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2025-11-26,--,--,--,56.78,--,--,0.87%,0.49,--,--,
2025-11-25,--,--,--,56.29,--,--,0.57%,0.32,--,--,
2025-11-24,--,--,--,55.97,--,--,2.60%,1.42,--,--,
2025-11-21,--,--,--,54.55,--,--,0.78%,0.42,--,--,
2025-11-20,--,--,--,54.13,--,--,-2.40%,-1.33,--,--,
2025-11-19,--,--,--,55.46,--,--,0.56%,0.31,--,--,
2025-11-18,--,--,--,55.15,--,--,-1.20%,-0.67,--,--,
2025-11-17,--,--,--,55.82,--,--,-0.85%,-0.48,--,--,
2025-11-14,--,--,--,56.3,--,--,0.07%,0.04,--,--,
2025-11-13,--,--,--,56.26,--,--,-2.07%,-1.19,--,--,
2025-11-12,--,--,--,57.45,--,--,-0.05%,-0.03,--,--,
2025-11-11,--,--,--,57.48,--,--,-0.31%,-0.18,--,--,
2025-11-10,--,--,--,57.66,--,--,2.18%,1.23,--,--,
2025-11-07,--,--,--,56.43,--,--,-0.28%,-0.16,--,--,
2025-11-06,--,--,--,56.59,--,--,-1.92%,-1.11,--,--,
2025-11-05,--,--,--,57.7,--,--,0.72%,0.41,--,--,
2025-11-04,--,--,--,57.29,--,--,-2.07%,-1.21,--,--,
2025-11-03,--,--,--,58.5,--,--,0.43%,0.25,--,--,
2025-10-31,--,--,--,58.25,--,--,0.48%,0.28,--,--,
2025-10-30,--,--,--,57.97,--,--,-1.46%,-0.86,--,--,
2025-10-29,--,--,--,58.83,--,--,0.41%,0.24,--,--,
2025-10-28,--,--,--,58.59,--,--,0.71%,0.41,--,--,
2025-10-27,--,--,--,58.18,--,--,1.82%,1.04,--,--,
2025-10-24,--,--,--,57.14,--,--,1.03%,0.58,--,--,
2025-10-23,--,--,--,56.56,--,--,0.87%,0.49,--,--,
2025-10-22,--,--,--,56.07,--,--,-0.99%,-0.56,--,--,
2025-10-21,--,--,--,56.63,--,--,-0.07%,-0.04,--,--,
2025-10-20,--,--,--,56.67,--,--,1.29%,0.72,--,--,
2025-10-17,--,--,--,55.95,--,--,0.65%,0.36,--,--,
2025-10-16,--,--,--,55.59,--,--,-0.38%,-0.21,--,--,
2025-10-15,--,--,--,55.8,--,--,0.67%,0.37,--,--,
2025-10-14,--,--,--,55.43,--,--,1.46%,0.8,--,--,
2025-10-10,--,--,--,54.63,--,--,-3.52%,-1.99,--,--,
2025-10-09,--,--,--,56.62,--,--,-0.14%,-0.08,--,--,
2025-10-08,--,--,--,56.7,--,--,1.18%,0.66,--,--,
2025-10-07,--,--,--,56.04,--,--,-0.55%,-0.31,--,--,
2025-10-06,--,--,--,56.35,--,--,0.75%,0.42,--,--,
2025-10-03,--,--,--,55.93,--,--,-0.43%,-0.24,--,--,
2025-10-02,--,--,--,56.17,--,--,0.38%,0.21,--,--,
